S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
95,ODISHA,2017,1012,783,1023,914,965,978,875,789,779,857,888,992,10855,State
96,PUDUCHERRY,2017,136,132,148,129,140,150,150,140,145,152,137,134,1693,UT
97,PUNJAB,2017,535,538,599,588,500,491,496,423,471,602,543,536,6322,State
98,RAJASTHAN,2017,1940,1814,1948,1911,2115,1879,1684,1721,1725,1860,1928,1587,22112,State
99,SIKKIM,2017,17,14,23,15,23,13,6,14,16,13,10,7,171,State
100,TAMIL NADU,2017,5752,5288,5716,5251,5715,5623,5737,5640,5302,5484,4908,5146,65562,State
101,TELANGANA,2017,1970,1851,1929,1973,2143,1792,1679,1729,1688,1692,1995,2043,22484,State
102,TRIPURA,2017,42,40,39,44,54,35,39,36,45,37,41,52,504,State
103,UTTAR PRADESH,2017,3076,2696,2995,2900,3121,2869,2635,2619,2633,2846,2903,3286,34579,State
104,UTTARAKHAND,2017,131,116,133,129,154,137,124,114,129,128,142,143,1580,State
105,WEST BENGAL,2017,1248,1097,1224,1166,1161,1203,1070,953,984,1020,1109,1075,13310,State
106,ANDAMAN AND NICOBAR ISLANDS,2018,21,27,17,18,21,14,22,32,15,26,20,21,254,UT
107,ANDHRA PRADESH,2018,1956,1813,1941,1875,2049,1777,1865,1642,1362,1553,1497,1678,21008,State
108,ARUNACHAL PRADESH,2018,33,13,18,20,19,15,16,19,12,18,15,31,229,State
109,ASSAM,2018,622,541,548,583,647,639,545,585,570,603,602,695,7180,State
110,BIHAR,2018,767,754,779,866,965,863,741,695,655,778,883,854,9600,State
111,CHANDIGARH,2018,31,26,40,26,26,15,27,24,25,28,25,24,317,UT
112,CHHATTISGARH,2018,1493,1170,1190,1168,1177,1138,1162,1074,989,1117,1085,1102,13865,State
113,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2018,18,17,18,10,12,9,14,11,8,11,15,8,151,UT
114,DELHI,2018,518,505,594,590,510,506,542,565,515,590,522,560,6517,UT
115,GOA,2018,344,350,320,333,319,308,261,248,269,305,310,343,3710,State
116,GUJARAT,2018,1620,1512,1615,1625,1735,1565,1342,1377,1342,1494,1655,1532,18414,State
117,HARYANA,2018,913,999,1055,1069,949,911,888,955,885,1035,960,1033,11652,State
118,HIMACHAL PRADESH,2018,241,214,271,274,237,296,279,248,263,263,254,279,3119,State
119,JAMMU AND KASHMIR,2018,459,399,461,482,551,547,503,586,513,566,474,456,5997,UT
120,JHARKHAND,2018,517,436,421,489,509,471,429,408,390,452,418,454,5394,State
121,KARNATAKA,2018,3936,3473,3552,3526,3703,3466,3261,3227,3158,3214,3432,3759,41707,State
122,KERALA,2018,3655,3433,3448,3326,3592,3200,3045,2918,3278,3302,3449,3535,40181,State
123,LAKSHADWEEP,2018,0,0,0,1,1,0,1,0,0,0,0,0,3,UT
124,MADHYA PRADESH,2018,4709,3800,4117,4309,4369,4111,3658,3545,3473,3939,3636,3803,47469,State
125,MAHARASHTRA,2018,2562,2343,2572,2590,2808,2373,1995,2201,2321,2643,2626,2706,29740,State
126,MANIPUR,2018,53,46,53,43,40,44,43,48,38,49,71,74,602,State
127,MEGHALAYA,2018,37,22,22,20,17,19,22,17,19,16,26,21,258,State
128,MIZORAM,2018,3,0,3,6,8,3,3,5,4,5,6,4,50,State
129,NAGALAND,2018,4,6,8,4,3,6,3,1,4,1,1,9,50,State
130,ODISHA,2018,1029,907,950,953,971,936,863,859,853,937,944,1060,11262,State
131,PUDUCHERRY,2018,133,107,133,144,148,125,137,127,147,128,127,141,1597,UT
132,PUNJAB,2018,577,488,504,546,570,500,487,518,500,536,618,580,6424,State
133,RAJASTHAN,2018,2053,1727,1922,1980,2062,1738,1679,1625,1756,1795,1873,1533,21743,State
134,SIKKIM,2018,12,22,14,11,18,6,17,8,11,29,11,10,169,State
135,TAMIL NADU,2018,5798,5243,5330,5535,5636,5484,5465,5545,5302,5075,4864,4643,63920,State
136,TELANGANA,2018,1976,1763,1899,1995,2138,1908,1750,1681,1516,1788,1919,1897,22230,State
137,TRIPURA,2018,52,38,51,40,44,45,35,34,50,55,51,56,551,State
138,UTTAR PRADESH,2018,3245,3058,3186,3142,3210,3114,2967,2776,2761,2956,3051,3389,36855,State
