S.No.,Category,State/UT,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,year
276,State,TELANGANA,1094,952,2163,2988,3312,4051,4544,2515,21619,2022
277,State,TRIPURA,12,16,54,104,93,100,123,73,575,2022
278,State,UTTAR PRADESH,3941,3886,3937,4299,4580,5213,6154,4865,36875,2022
279,State,UTTARAKHAND,122,141,207,244,235,248,243,234,1674,2022
280,State,WEST BENGAL,838,910,1193,1523,1495,1556,1699,1421,10635,2022
281,UT,ANDAMAN AND NICOBAR ISLANDS,6,6,12,15,27,32,20,23,141,2022
282,UT,CHANDIGARH,36,8,16,18,25,36,35,64,238,2022
283,UT,DADRA AND NICOBAR HAVELI AND DAMAN AND DIU,8,1,15,27,17,37,44,26,175,2022
284,UT,DELHI (UT),626,528,609,667,776,692,828,834,5560,2022
285,UT,JAMMU AND KASHMIR,130,227,742,1167,1350,1204,951,319,6090,2022
286,UT,LADAKH,0,12,32,48,90,65,20,1,268,2022
287,UT,LAKSHADWEEP,0,0,0,2,0,0,2,0,4,2022
288,UT,PUDUCHERRY,32,35,144,157,199,202,261,151,1181,2022
