S.No.,State/UT,year,Deaths_Natural,Deaths_Other_Causes,Deaths_Total,Population_Lakh,Category
250,BIHAR,2022,953,15072,16025,1255.3,State
251,CHANDIGARH,2022,1,286,287,12.2,UT
252,CHHATTISGARH,2022,248,16645,16893,299.5,State
253,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2022,0,309,309,12.0,UT
254,DELHI,2022,1,3647,3648,211.0,UT
255,GOA,2022,4,692,696,15.7,State
256,GUJARAT,2022,101,22309,22410,709.3,State
257,HARYANA,2022,95,15946,16041,299.7,State
258,HIMACHAL PRADESH,2022,110,2724,2834,74.4,State
259,JAMMU AND KASHMIR,2022,169,1617,1786,138.4,UT
260,JHARKHAND,2022,464,7308,7772,391.4,State
261,KARNATAKA,2022,140,28950,29090,674.1,State
262,KERALA,2022,29,15090,15119,356.8,State
263,LAKSHADWEEP,2022,0,8,8,0.7,UT
264,MADHYA PRADESH,2022,914,42812,43726,858.9,State
265,MAHARASHTRA,2022,445,66211,66656,1257.4,State
266,MANIPUR,2022,65,288,353,32.0,State
267,MEGHALAYA,2022,42,548,590,33.3,State
268,MIZORAM,2022,6,313,319,12.3,State
269,NAGALAND,2022,3,52,55,22.2,State
270,ODISHA,2022,2445,18568,21013,460.8,State
271,PUDUCHERRY,2022,0,1064,1064,16.2,UT
272,PUNJAB,2022,257,10869,11126,306.0,State
273,RAJASTHAN,2022,133,26316,26449,804.4,State
274,SIKKIM,2022,14,296,310,6.8,State
275,TAMIL NADU,2022,93,29022,29115,767.1,State
276,TELANGANA,2022,136,12574,12710,379.5,State
277,TRIPURA,2022,12,623,635,41.2,State
278,UTTAR PRADESH,2022,667,42263,42930,2340.9,State
279,UTTARAKHAND,2022,90,2585,2675,115.6,State
280,WEST BENGAL,2022,195,15299,15494,987.6,State
