Si. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/ Cycle Rickshaw - Offenders,Hand Drawn Vehicle/ Cycle Rickshaw - Victims,Hand Drawn Vehicle/ Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
11,State,Karnataka,220,391,611,22,155,177,26,71,97,420,970,1390,57,48,105,55,32,87,92,223,315,2786,2207,4993,15,37,52,24,55,79,0,0,0,2,14,16,3,1533,1536,52,250,302,3774,5986,9760
12,State,Kerala,63,128,191,12,50,62,1,14,15,60,219,279,10,13,23,2,3,5,27,116,143,393,1192,1585,2,16,18,4,66,70,0,0,0,0,0,0,16,555,571,1,14,15,591,2386,2977
13,State,Madhya Pradesh,389,946,1335,160,235,395,207,290,497,518,1003,1521,102,286,388,186,392,578,53,204,257,2224,2958,5182,70,238,308,40,18,58,0,0,0,2,0,2,91,982,1073,42,29,71,4084,7581,11665
14,State,Maharashtra,553,1211,1764,65,204,269,48,124,172,457,836,1293,143,214,357,107,148,255,123,288,411,2711,3166,5877,49,151,200,31,61,92,0,0,0,6,17,23,76,1100,1176,29,100,129,4398,7620,12018
15,State,Manipur,22,8,30,0,0,0,5,0,5,11,7,18,0,0,0,0,0,0,2,1,3,22,17,39,7,0,7,3,0,3,0,0,0,0,0,0,5,16,21,0,1,1,77,50,127
16,State,Meghalaya,30,4,34,7,0,7,7,2,9,16,12,28,4,0,4,0,0,0,1,1,2,10,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2,1,3,77,61,138
17,State,Mizoram,7,5,12,0,0,0,3,4,7,5,6,11,1,1,2,0,0,0,0,0,0,16,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,53
18,State,Nagaland,6,8,14,0,0,0,3,0,3,5,2,7,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,27
19,State,Odisha,198,157,355,12,81,93,25,50,75,180,212,392,14,11,25,12,17,29,48,111,159,1676,715,2391,91,63,154,139,7,146,1,17,18,0,16,16,45,483,528,209,148,357,2650,2088,4738
20,State,Punjab,117,219,336,23,74,97,86,173,259,299,431,730,27,26,53,8,54,62,31,89,120,550,1005,1555,3,63,66,59,113,172,0,5,5,1,66,67,76,286,362,5,27,32,1285,2631,3916
21,State,Rajasthan,420,997,1417,85,305,390,122,261,383,359,1034,1393,120,313,433,72,293,365,43,131,174,1552,1714,3266,136,491,627,5,21,26,0,0,0,5,22,27,57,631,688,33,30,63,3009,6243,9252
22,State,Sikkim,5,2,7,0,0,0,9,9,18,6,4,10,0,1,1,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,42
23,State,Tamil Nadu,203,307,510,75,155,230,48,135,183,336,540,876,34,36,70,12,68,80,175,163,338,1637,2333,3970,34,139,173,89,214,303,1,3,4,4,4,8,244,920,1164,24,126,150,2916,5143,8059
24,State,Telangana,86,432,518,28,166,194,11,139,150,151,526,677,4,16,20,90,188,278,89,351,440,1821,2142,3963,0,0,0,0,51,51,0,0,0,0,1,1,0,486,486,0,104,104,2280,4602,6882
25,State,Tripura,5,15,20,0,1,1,0,0,0,2,19,21,0,5,5,0,0,0,3,3,6,37,49,86,0,1,1,2,4,6,0,0,0,0,0,0,3,38,41,1,4,5,53,139,192
26,State,Uttar Pradesh,834,3772,4606,82,643,725,229,1109,1338,639,2551,3190,36,534,570,112,502,614,205,728,933,1639,4096,5735,89,216,305,46,143,189,2,13,15,5,75,80,0,0,0,273,464,737,4191,14846,19037
27,State,Uttarakhand,30,22,52,1,6,7,6,3,9,85,76,161,15,5,20,5,5,10,3,10,13,172,126,298,17,18,35,12,17,29,0,0,0,0,0,0,0,59,59,0,0,0,346,347,693
28,State,West Bengal,342,986,1328,67,307,374,63,188,251,119,599,718,7,7,14,14,105,119,34,95,129,568,806,1374,76,290,366,22,17,39,1,1,2,0,0,0,34,297,331,8,118,126,1355,3816,5171
Total (States),Total (States),Total (States),4760,11986,16746,938,3040,3978,1284,3269,4553,5230,11846,17076,834,1788,2622,919,2398,3317,1449,3908,5357,26299,31048,57347,772,2242,3014,816,1202,2018,58,68,126,32,267,299,1188,10574,11762,795,1956,2751,45374,85592,130966
