Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
17,State,Meghalaya,31,27,30,33,41,31,54,39,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,30,33,41,31,54,39,286
18,State,Mizoram,4,5,11,11,9,10,10,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,11,9,10,10,5,65
19,State,Nagaland,2,1,6,11,11,11,13,5,60,2,0,1,3,1,0,1,1,9,0,0,0,0,0,0,0,0,0,4,1,7,14,12,11,14,6,69
20,State,Odisha,953,1068,1122,1481,1601,1753,1707,1170,10855,0,0,1,0,0,0,0,0,1,22,21,59,74,65,70,33,36,380,975,1089,1182,1555,1666,1823,1740,1206,11236
21,State,Punjab,428,451,827,807,931,972,1132,774,6322,0,0,0,2,0,1,0,0,3,26,49,178,160,118,113,123,75,842,454,500,1005,969,1049,1086,1255,849,7167
22,State,Rajasthan,923,1154,2180,3257,3937,4382,4057,2222,22112,0,0,0,0,0,0,0,0,0,37,45,88,90,76,92,87,92,607,960,1199,2268,3347,4013,4474,4144,2314,22719
23,State,Sikkim,13,8,17,20,36,29,30,18,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,17,20,36,29,30,18,171
24,State,Tamil Nadu,2308,3613,7897,9402,9404,11666,14486,6786,65562,0,0,0,1,0,1,1,0,3,96,96,475,425,263,248,250,177,2030,2404,3709,8372,9828,9667,11915,14737,6963,67595
25,State,Telangana,1210,1239,2162,3188,3250,4174,4688,2573,22484,0,0,0,0,0,0,0,0,0,44,35,168,162,86,75,79,49,698,1254,1274,2330,3350,3336,4249,4767,2622,23182
26,State,Tripura,11,22,43,101,76,111,88,52,504,1,6,8,4,1,3,1,0,24,0,0,2,0,1,0,4,0,7,12,28,53,105,78,114,93,52,535
27,State,Uttar Pradesh,3026,3351,4387,4801,4717,4848,5489,3960,34579,85,90,106,80,84,92,112,80,729,337,426,451,374,336,358,378,356,3016,3448,3867,4944,5255,5137,5298,5979,4396,38324
28,State,Uttarakhand,113,107,165,205,231,265,264,230,1580,3,4,0,0,0,0,3,9,19,1,4,1,0,0,1,3,3,13,117,115,166,205,231,266,270,242,1612
29,State,West Bengal,827,1215,1588,2072,2069,2020,1992,1527,13310,0,2,9,51,43,39,8,2,154,136,205,313,693,485,490,280,121,2723,963,1422,1910,2816,2597,2549,2280,1650,16187
State,State,Total (States),22916,27977,51586,66457,68004,76794,79108,43850,436692,171,171,209,227,198,204,229,164,1573,2160,2381,3814,4263,3556,3345,3763,3024,26306,25247,30529,55609,70947,71758,80343,83100,47038,464571
30,Union Territory,A & N Islands,3,7,20,27,33,41,39,19,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,20,27,33,41,39,19,189
31,Union Territory,Chandigarh,23,11,56,77,37,59,42,31,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,56,77,37,59,42,31,336
32,Union Territory,D & N Haveli,1,1,3,5,11,19,17,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,11,19,17,10,67
33,Union Territory,Daman & Diu,6,0,5,7,15,16,16,14,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,7,15,16,16,14,79
34,Union Territory,Delhi (UT),747,701,724,730,802,871,1037,1060,6672,1,3,2,1,0,2,4,2,15,94,104,106,125,103,102,135,122,891,842,808,832,856,905,975,1176,1184,7578
35,Union Territory,Lakshadweep,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
