Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
70,City,Malappuram,0,7,7,0,10,10,0,4,4,4,19,23,0,0,0,0,0,0,2,12,14,12,54,66,0,0,0,0,1,1,0,0,0,0,0,0,0,28,28,0,0,0,18,135,153
71,City,Meerut,9,15,24,3,17,20,5,17,22,20,32,52,0,0,0,0,0,0,2,8,10,46,43,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,132,217
72,City,Mumbai,29,79,108,4,37,41,2,7,9,10,90,100,0,3,3,0,0,0,4,26,30,87,107,194,3,31,34,0,1,1,0,2,2,0,0,0,0,66,66,0,2,2,139,451,590
73,City,Nagpur,0,21,21,0,7,7,0,4,4,0,24,24,0,0,0,0,0,0,0,11,11,0,233,233,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,301,301
74,City,Nasik,0,0,0,0,0,0,6,0,6,7,0,7,6,0,6,0,0,0,9,0,9,51,81,132,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,91,81,172
75,City,Patna,0,46,46,0,39,39,25,24,49,0,0,0,0,0,0,0,0,0,0,0,0,27,138,165,0,0,0,8,0,8,0,0,0,0,0,0,13,0,13,0,0,0,73,247,320
76,City,Pune,22,32,54,11,10,21,6,2,8,18,16,34,0,3,3,1,0,1,4,2,6,84,61,145,9,2,11,0,7,7,0,0,0,0,0,0,0,8,8,50,3,53,205,146,351
77,City,Raipur,29,25,54,2,5,7,3,2,5,8,5,13,1,0,1,0,0,0,2,0,2,38,8,46,9,1,10,3,1,4,0,0,0,0,0,0,0,8,8,0,0,0,95,55,150
78,City,Rajkot,7,10,17,1,7,8,0,0,0,12,13,25,0,0,0,0,0,0,5,12,17,20,21,41,4,25,29,0,3,3,0,0,0,0,0,0,0,21,21,0,0,0,49,112,161
79,City,Ranchi,35,0,35,58,0,58,0,0,0,9,10,19,7,0,7,4,0,4,23,0,23,33,0,33,8,0,8,12,0,12,3,0,3,7,0,7,21,0,21,0,0,0,220,10,230
80,City,Srinagar,0,2,2,0,4,4,0,21,21,0,20,20,0,0,0,0,0,0,0,0,0,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,56,60
81,City,Surat,7,24,31,4,7,11,0,0,0,8,21,29,0,0,0,0,0,0,2,12,14,30,92,122,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,51,189,240
82,City,Thiruvananthapuram,0,8,8,0,13,13,0,3,3,0,25,25,0,0,0,0,0,0,0,7,7,0,52,52,0,0,0,0,5,5,0,0,0,0,0,0,0,59,59,0,0,0,0,172,172
83,City,Thrissur,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,52,52,0,0,0,0,5,5,0,0,0,0,0,0,0,43,43,0,0,0,0,108,108
84,City,Tiruchirappalli,0,21,21,0,32,32,0,0,0,0,19,19,0,6,6,0,0,0,0,1,1,0,36,36,0,0,0,0,3,3,0,0,0,0,0,0,0,16,16,0,0,0,0,134,134
85,City,Vadodara,1,12,13,1,8,9,1,1,2,2,6,8,0,1,1,0,1,1,1,1,2,21,54,75,0,0,0,0,0,0,0,8,8,0,0,0,0,67,67,0,0,0,27,159,186
86,City,Varanasi,0,19,19,0,9,9,2,5,7,0,2,2,1,9,10,0,0,0,1,11,12,4,45,49,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,105,113
87,City,Vasai Virar,21,9,30,1,2,3,0,0,0,33,12,45,4,1,5,0,0,0,0,2,2,77,15,92,0,2,2,0,0,0,0,0,0,0,0,0,9,8,17,0,0,0,145,51,196
88,City,Vijayawada,1,102,103,0,32,32,0,0,0,0,67,67,0,1,1,0,10,10,0,16,16,8,79,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,9,340,349
89,City,Vishakhapatnam,42,43,85,3,21,24,0,0,0,11,34,45,1,8,9,0,3,3,3,12,15,46,38,84,0,14,14,1,1,2,0,0,0,0,0,0,8,6,14,0,1,1,115,181,296
City,City,Total (Cities),437,1745,2182,175,981,1156,132,371,503,426,2056,2482,96,206,302,18,100,118,163,584,747,1834,3674,5508,112,403,515,70,151,221,3,27,30,8,12,20,84,1129,1213,68,182,250,3626,11621,15247
