Sl. No,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total
64,City,KOLLAM,0,17,17,0,39,39,0,7,7,1,28,29,0,1,1,0,0,0,0,11,11,1,83,84,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,202,204
65,City,KOTA,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,1,5,45,10,55,3,5,8,4,0,4,0,0,0,0,0,0,0,32,32,0,0,0,60,48,108
66,City,KOZHIKODE,1,27,28,0,37,37,0,0,0,2,27,29,0,2,2,0,0,0,0,6,6,2,49,51,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,154,159
67,City,LUCKNOW,7,185,192,1,29,30,0,27,27,8,89,97,1,20,21,5,11,16,0,50,50,6,172,178,2,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,594,624
68,City,LUDHIANA,5,58,63,0,15,15,0,10,10,12,74,86,0,5,5,1,9,10,1,4,5,47,24,71,2,7,9,1,0,1,0,0,0,0,0,0,1,4,5,7,61,68,77,271,348
69,City,MADURAI,0,32,32,0,34,34,0,2,2,0,10,10,0,2,2,0,1,1,0,22,22,11,54,65,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,204,215
70,City,MALAPPURAM,3,4,7,1,3,4,0,0,0,1,4,5,0,0,0,0,0,0,2,4,6,17,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,24,46,70
71,City,MEERUT,7,81,88,3,44,47,5,36,41,15,77,92,3,0,3,1,15,16,8,9,17,32,58,90,7,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,339,420
72,City,MUMBAI,15,82,97,10,46,56,1,6,7,28,102,130,1,2,3,0,0,0,6,15,21,61,85,146,5,100,105,0,1,1,0,0,0,0,0,0,0,45,45,0,0,0,127,484,611
73,City,NAGPUR,40,57,97,4,10,14,3,0,3,11,20,31,2,5,7,0,1,1,0,8,8,61,64,125,2,2,4,1,2,3,0,0,0,0,0,0,0,17,17,0,7,7,124,193,317
