Si. No.,Category,State/UT/City,Road Accidents - Jan,Road Accidents - Feb,Road Accidents - Mar,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - Aug,Road Accidents - Sept,Road Accidents - Oct,Road Accidents - Nov,Road Accidents - Dec,Road Accidents - Total,Railway Crossing Accidents - Jan,Railway Crossing Accidents - Feb,Railway Crossing Accidents - Mar,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - Aug,Railway Crossing Accidents - Sept,Railway Crossing Accidents - Oct,Railway Crossing Accidents - Nov,Railway Crossing Accidents - Dec,Railway Crossing Accidents - Total,Railway Accidents - Jan,Railway Accidents - Feb,Railway Accidents - Mar,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - Aug,Railway Accidents - Sept,Railway Accidents - Oct,Railway Accidents - Nov,Railway Accidents - Dec,Railway Accidents - Total,Total Traffic Accidents - Jan,Total Traffic Accidents - Feb,Total Traffic Accidents - Mar,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - Aug,Total Traffic Accidents - Sept,Total Traffic Accidents - Oct,Total Traffic Accidents - Nov,Total Traffic Accidents - Dec,Total Traffic Accidents - Total
Total (UTs),Total (UTs),Total (UTs),1048,1032,877,271,561,744,887,946,991,1163,1039,994,10553,0,0,0,0,0,0,0,0,0,1,1,0,2,76,91,73,12,24,34,40,34,42,45,39,25,535,1124,1123,950,283,585,778,927,980,1033,1209,1079,1019,11090
Total (All India),Total (All India),Total (All India),38866,37859,30653,8350,19482,26338,26274,28417,30029,33793,36607,38128,354796,195,155,99,42,50,48,51,68,64,77,79,86,1014,2138,1998,1609,332,580,767,767,763,868,975,1045,1176,13018,41199,40012,32361,8724,20112,27153,27092,29248,30961,34845,37731,39390,368828
38,City,Agra,24,25,19,5,5,11,22,18,24,18,21,24,216,1,2,1,0,0,2,4,3,1,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,20,5,5,13,26,21,25,20,21,24,232
39,City,Ahmedabad,149,160,134,29,36,51,97,95,111,113,102,108,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,3,3,3,0,3,5,2,30,154,161,139,29,36,54,100,98,111,116,107,110,1215
40,City,Allahabad,26,19,11,12,17,21,15,16,22,15,19,28,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,11,12,17,21,15,16,22,15,19,28,221
41,City,Amritsar,5,11,10,4,5,6,15,3,8,16,10,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,4,5,6,15,3,8,16,10,7,100
42,City,Asansol,43,46,31,5,21,25,44,45,39,38,44,46,427,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,46,46,31,5,21,25,44,46,39,38,44,46,431
43,City,Aurangabad,50,33,36,15,7,22,21,34,42,47,32,33,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,0,4,1,0,4,1,22,50,37,38,17,9,24,21,38,43,47,36,34,394
44,City,Bengaluru,406,404,305,65,214,220,200,248,255,314,284,318,3233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,404,305,65,214,220,200,248,255,314,284,318,3233
45,City,Bhopal,260,189,139,16,45,104,103,103,126,189,161,155,1590,1,1,0,0,0,0,0,0,0,0,0,0,2,4,2,4,3,2,1,1,3,4,2,1,1,28,265,192,143,19,47,105,104,106,130,191,162,156,1620
