S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
48,Himachal Pradesh,2016,3278,143,155,473,31,7,257,100,223,215,239,286,270,292,278,293,243,314,261,239,115,91,384,546,491,600,604,322,411,206,0,549,1166,17,104,18,0,16,551,706,13,110,6,5,35,8,283,460,1166,1132,2021,35.9,1166,22.0,Monsoon,Alpine/Cold,73.31,44.7
49,Jammu and Kashmir,2016,1485,159,154,269,21,12,156,187,420,442,461,442,560,560,441,397,392,486,444,432,195,410,523,927,1150,1122,733,417,412,133,0,413,958,14,162,9,1,9,458,653,8,36,5,7,10,15,224,305,958,1755,3722,32.0,958,16.3,Monsoon,Alpine/Cold,133.06,11.2
50,Jharkhand,2016,5758,4,391,953,0,142,1057,480,414,428,425,419,403,419,451,395,347,392,392,447,644,558,747,692,558,609,566,558,1174,1140,100,613,3027,202,288,135,76,87,351,1139,340,487,248,377,119,102,215,1888,3027,2326,2606,47.2,3027,34.9,Monsoon,Tropical Wet & Dry,382.93,15.0
51,Karnataka,2016,26133,1330,722,1928,391,722,4543,1650,3846,3676,3923,3960,4247,3517,3365,3542,3396,3647,3617,3700,2672,3117,4888,7162,7022,7420,7316,4839,4459,2965,0,3862,11286,212,1013,273,23,167,4675,6363,227,1356,345,168,264,345,2218,4923,11286,17944,26492,40.4,11286,40.3,Monsoon,Tropical Wet & Dry,673.62,38.8
52,Kerala,2016,11980,323,405,694,4,267,1682,912,3687,3379,3312,3211,3399,3151,3182,3221,3268,3218,3130,3262,960,1695,4928,7368,6047,8096,7177,3149,1340,980,0,1967,4287,192,754,195,64,37,1190,2432,123,618,131,90,77,171,645,1855,4287,12981,26439,32.9,4287,39.2,Monsoon,Heavy Rainfall,354.99,33.7
53,Lakshadweep,2016,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,1,100.0,Winter,Coastal/Humid,0.73,16.4
54,Madhya Pradesh,2016,41107,1602,645,2329,645,337,3249,1054,5021,4633,4759,4731,4828,4260,3848,3463,3778,4439,4221,3963,2281,2778,5403,8700,8893,9353,9148,5388,2674,3043,114,4030,9861,402,2155,354,136,237,2471,5755,323,1302,366,113,171,141,1690,4106,9861,19595,32349,37.7,9861,32.9,Monsoon,Tropical Wet & Dry,853.58,48.2
55,Maharashtra,2016,68620,1960,495,2549,277,698,5595,2108,3343,3189,3441,3325,3677,3201,2779,2784,2834,3052,2930,3331,2950,3005,4045,5382,5389,6216,6412,4487,3803,3761,155,5963,13682,254,1302,203,51,218,6076,8104,245,1757,328,113,315,444,2376,5578,13682,16854,21032,44.5,13682,40.9,Monsoon,Tropical Wet & Dry,1242.21,55.2
56,Manipur,2016,286,37,6,34,1,3,25,23,43,57,66,62,64,55,42,38,47,58,63,73,14,7,38,122,133,158,150,46,89,25,0,15,129,13,67,0,0,7,11,98,2,13,2,0,1,11,2,31,129,217,451,32.5,129,19.4,Summer,Heavy Rainfall,32.37,8.8
57,Meghalaya,2016,403,57,54,45,0,16,23,9,28,32,24,24,21,16,19,30,25,21,20,22,11,12,35,34,36,60,52,42,126,30,9,39,204,12,110,7,2,5,14,150,11,31,2,3,0,1,6,54,204,117,165,41.5,204,11.3,Monsoon,Heavy Rainfall,32.11,12.6
58,Mizoram,2016,192,19,0,29,0,1,10,1,8,8,4,7,3,3,2,7,4,5,5,8,3,8,4,5,6,21,11,6,38,16,0,6,60,0,21,0,0,1,24,46,0,5,0,0,1,0,8,14,60,28,36,43.8,60,16.7,Winter,Heavy Rainfall,12.39,15.5
59,Nagaland,2016,79,17,1,11,0,7,9,2,5,3,10,8,4,5,4,0,5,2,3,4,4,3,4,2,7,9,15,9,39,3,0,5,47,5,15,0,1,0,2,23,3,17,0,1,0,0,3,24,47,31,22,58.5,47,19.1,Summer,Heavy Rainfall,21.89,3.6
60,Odisha,2016,11821,870,384,761,139,344,1389,576,1016,900,952,903,936,903,732,780,756,778,870,1006,620,705,1175,1627,1642,1851,1810,1102,1858,1439,6,1160,4463,177,416,85,97,63,1886,2724,168,190,63,22,44,117,1135,1739,4463,4237,6295,40.2,4463,31.1,Monsoon,Tropical Wet & Dry,463.56,25.5
61,Puducherry,2016,838,13,19,15,0,0,165,29,174,123,160,151,145,157,151,149,134,161,124,134,180,142,191,185,189,300,360,216,131,14,0,96,241,8,27,4,0,10,81,130,14,10,10,4,2,10,61,111,241,898,865,50.9,241,68.5,Monsoon,Coastal/Humid,16.73,50.1
62,Punjab,2016,10708,745,382,1365,181,182,1538,684,547,555,583,587,609,590,515,541,487,663,709,566,343,458,915,1000,987,1091,1436,722,1542,1487,0,2048,5077,287,1130,201,150,187,1121,3076,225,645,147,109,225,171,479,2001,5077,2959,3993,42.6,5077,30.3,Monsoon,Hot & Dry,303.57,35.3
63,Rajasthan,2016,28216,1921,673,2858,632,189,2647,1545,2093,1912,2065,2088,2172,1921,1971,1691,1818,1881,1846,1608,936,957,2447,3680,3981,4396,4322,2347,3706,2100,32,4627,10465,219,1241,98,45,173,5823,7599,160,619,92,43,68,35,1849,2866,10465,8562,14504,37.1,10465,25.3,Monsoon,Hot & Dry,815.03,34.6
64,Sikkim,2016,285,22,0,85,0,0,4,1,22,16,18,17,25,17,14,16,18,26,16,18,11,14,21,30,32,40,35,40,30,49,0,33,112,8,22,6,2,21,25,84,2,7,0,1,0,0,18,28,112,100,123,44.8,112,3.6,Monsoon,Alpine/Cold,6.91,41.2
65,Tamil Nadu,2016,32942,2076,2140,3643,233,366,5666,3094,6184,6160,6227,5993,6012,5953,5797,6295,6055,5977,5282,5496,2883,4175,8592,10448,10391,12501,15072,7369,6495,6013,0,4710,17218,736,1437,368,540,987,7898,11966,471,739,481,562,436,483,2080,5252,17218,29499,41932,41.3,17218,32.9,Monsoon,Tropical Wet & Dry,772.34,42.7
66,Telangana,2016,13288,1072,381,1301,601,831,2406,627,1777,1780,2035,2091,1958,1787,1721,1960,1676,1807,1988,2231,1607,1931,2276,2975,3239,3956,4139,2688,2282,1520,0,3417,7219,244,718,208,428,117,1819,3534,439,758,318,741,466,111,852,3685,7219,10365,12446,45.4,7219,33.3,Monsoon,Tropical Wet & Dry,384.67,34.5
