Sl. No.,State/UT/Cities,Road Accidents - January,Road Accidents - February,Road Accidents - March,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - August,Road Accidents - September,Road Accidents - October,Road Accidents - November,Road Accidents - December,Road Accidents - Total,Railway Crossing Accidents - January,Railway Crossing Accidents - February,Railway Crossing Accidents - March,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - August,Railway Crossing Accidents - September,Railway Crossing Accidents - October,Railway Crossing Accidents - November,Railway Crossing Accidents - December,Railway Crossing Accidents - Total,Railway Accidents - January,Railway Accidents - February,Railway Accidents - March,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - August,Railway Accidents - September,Railway Accidents - October,Railway Accidents - November,Railway Accidents - December,Railway Accidents - Total,Total Traffic Accidents - January,Total Traffic Accidents - February,Total Traffic Accidents - March,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - August,Total Traffic Accidents - September,Total Traffic Accidents - October,Total Traffic Accidents - November,Total Traffic Accidents - December,Total Traffic Accidents - Total
67,Ludhiana,40,38,50,36,24,37,36,52,33,36,33,52,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,50,36,24,37,36,52,33,36,33,52,467
68,Madurai,56,53,65,59,58,60,65,70,62,82,61,53,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,53,65,59,58,60,65,70,62,82,61,53,744
69,Malappuram,77,79,75,70,75,82,68,65,66,73,66,74,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,77,79,76,70,76,82,68,65,66,73,67,74,873
70,Meerut,35,28,42,40,42,39,36,41,37,32,41,38,451,2,3,0,0,5,2,4,0,0,4,1,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,42,40,47,41,40,41,37,36,42,43,477
71,Mumbai,49,48,43,55,49,28,32,43,46,57,39,49,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,48,43,55,49,28,32,43,46,57,39,49,538
72,Nagpur,111,73,103,85,118,87,107,92,94,91,117,103,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,6,8,6,4,6,4,2,2,54,115,78,107,88,124,95,113,96,100,95,119,105,1235
73,Nasik,13,14,17,13,12,14,21,13,17,20,16,20,190,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,1,5,0,2,2,3,1,24,14,14,20,16,15,15,26,13,19,22,19,21,214
74,Patna,24,23,16,27,25,24,23,23,20,22,21,27,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,16,27,25,24,23,23,20,22,21,27,275
75,Prayagraj +,78,88,109,124,170,136,135,105,83,114,107,121,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,88,109,124,170,136,135,105,83,114,107,121,1370
76,Pune,31,30,24,31,32,34,28,34,34,33,43,33,387,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,4,2,0,1,3,17,32,31,26,32,34,34,28,38,36,33,44,36,404
77,Raipur,82,97,102,99,93,91,68,90,60,77,93,69,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,3,3,2,1,2,4,4,3,33,84,100,104,103,96,94,70,91,62,81,97,72,1054
78,Rajkot,31,32,31,47,35,55,43,55,33,52,41,43,498,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,2,1,0,1,1,1,13,33,33,31,49,37,55,45,56,33,53,42,44,511
79,Ranchi,15,13,13,11,15,12,17,17,13,14,18,17,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,13,11,15,12,17,17,13,14,18,17,175
80,Srinagar,14,32,36,32,49,40,40,40,37,46,32,28,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,36,32,49,40,40,40,37,46,32,28,426
81,Surat,63,64,55,64,62,50,38,68,59,56,43,61,683,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,2,1,3,1,4,6,2,4,36,64,68,62,65,64,51,41,69,63,62,45,65,719
82,Thiruvananthapuram,140,127,157,144,147,149,145,134,139,177,199,167,1825,3,1,1,3,2,1,0,0,1,0,1,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,143,128,158,147,149,150,145,134,140,177,200,172,1843
83,Thrissur,197,171,221,188,188,208,176,160,178,189,224,274,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,171,221,188,188,208,176,160,178,189,224,274,2374
84,Tiruchirappalli,39,29,55,46,43,50,40,52,43,60,45,40,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,55,46,43,50,40,52,43,60,45,40,542
85,Vadodara,36,42,39,46,51,33,34,43,38,46,32,38,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,5,36,42,40,46,52,34,34,43,39,46,32,39,483
86,Varanasi,13,11,9,5,9,8,14,12,8,12,14,18,133,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,1,2,3,0,3,1,2,3,3,29,16,14,14,6,11,11,14,15,9,14,17,21,162
87,Vasai Virar,24,38,34,22,34,34,29,25,18,33,23,28,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,34,22,34,34,29,25,18,33,23,28,342
88,Vijayawada,120,102,129,138,149,155,135,145,105,125,120,120,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,102,129,138,149,155,135,145,105,125,120,120,1543
