Sl. No.,State/UT/Cities,Truck/Lorry/Mini Truck - Injured,Truck/Lorry/Mini Truck - Died,Bus - Injured,Bus - Died,SUV / Car / Jeep / etc. - Injured,SUV / Car / Jeep / etc. - Died,Tractor - Injured,Tractor - Died,Three Wheeler/Auto Rickshaw - Injured,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Injured,Two Wheeler - Died,Other Motor Vehicles - Injured,Other Motor Vehicles - Died,Bicycle - Injured,Bicycle - Died,Hand Drawn Vehicle/Cycle Rickshaw - Injured,Hand Drawn Vehicle/Cycle Rickshaw - Died,Animal Drawn Vehicle - Injured,Animal Drawn Vehicle - Died,Others - Injured,Others - Died,Pedestrian - Injured,Pedestrian - Died,Grand Total - Injured,Grand Total - Died
67,Ludhiana,0,5,2,0,5,21,0,0,14,5,112,188,0,2,8,19,0,5,0,0,0,0,33,119,174,364
68,Madurai,0,1,16,4,26,2,0,0,33,3,319,99,0,0,26,7,0,0,0,0,0,0,181,76,601,192
69,Malappuram,35,5,33,2,115,6,0,0,130,16,535,50,23,1,8,2,0,0,0,0,0,0,219,34,1098,116
70,Meerut,23,7,40,6,132,53,2,1,53,7,162,52,0,0,6,4,8,0,0,0,0,0,17,19,443,149
71,Mumbai,0,69,0,26,1,76,0,0,0,36,3,215,0,26,0,0,0,0,0,0,0,75,0,15,4,538
72,Nagpur,46,73,19,6,172,31,0,2,21,6,729,217,0,0,0,0,0,0,0,0,0,0,0,0,987,335
73,Nasik,0,12,49,22,0,17,0,0,0,32,0,118,0,0,0,0,0,0,0,0,0,0,0,0,49,201
74,Patna,1,0,5,2,1,12,1,26,4,30,39,83,0,0,8,17,0,0,0,0,0,0,62,28,121,198
75,Prayagraj +,93,110,87,95,293,181,115,22,142,65,156,130,0,0,0,0,0,0,0,0,0,0,0,0,886,603
76,Pune,29,65,4,20,30,39,1,2,1,5,38,198,3,3,0,2,0,0,0,0,0,1,1,8,107,343
77,Raipur,5,5,2,0,58,11,0,0,15,2,391,114,3,0,17,8,0,0,0,0,0,0,84,46,575,186
78,Rajkot,3,4,8,1,48,9,3,1,19,11,237,78,0,0,19,5,0,0,0,0,0,0,85,41,422,150
79,Ranchi,0,0,7,2,20,14,0,0,17,6,56,47,0,0,3,13,0,0,0,0,0,0,8,8,111,90
80,Srinagar,13,1,1,0,245,34,0,0,14,0,108,12,56,6,1,0,0,0,0,0,0,0,0,0,438,53
81,Surat,11,6,1,2,16,7,0,0,26,8,315,152,0,0,11,8,0,0,0,0,0,0,173,110,553,293
82,Thiruvananthapuram,111,7,121,7,180,24,0,0,117,11,1049,70,4,0,7,0,0,0,0,0,6,0,315,52,1910,171
83,Thrissur,9,0,39,3,105,7,0,0,253,12,1650,116,93,2,91,9,0,0,0,0,0,0,471,61,2711,210
84,Tiruchirappalli,4,3,59,3,61,4,0,0,27,4,362,81,0,0,5,3,1,0,0,0,0,0,105,51,624,149
85,Vadodara,27,8,40,8,50,9,0,0,20,7,173,123,0,0,22,11,0,0,0,0,0,0,46,15,378,181
86,Varanasi,0,0,0,0,24,37,0,0,0,0,37,71,0,0,11,6,0,0,0,0,14,31,0,0,86,145
87,Vasai Virar,13,36,3,2,32,27,1,0,29,18,100,56,8,7,15,5,0,0,0,0,1,0,11,14,213,165
88,Vijayawada,9,3,57,8,78,27,0,0,110,21,783,226,0,0,29,10,0,0,0,0,13,9,288,114,1367,418
89,Vishakhapatnam,13,6,9,1,52,7,0,0,67,14,787,214,28,3,10,8,0,0,0,0,0,0,322,105,1288,358
Total (Cities),Total (Cities),2107,1289,1886,540,7445,2016,295,198,3136,777,29888,7334,1052,384,1055,376,90,34,9,10,462,295,9715,2714,57140,15967
